TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY
1,25,0,25,0.0,0.0,45.44,22.72,4.544,1804.0,0.0,17.0,94.0,97.0,1583.0,0.0,13.0,5.08875,5.08875,1,0,0,0,5,1
2,25,0,25,120.0,332.0,14.079999999999998,7.039999999999999,1.408,1798.0,10.0,914.0,120.0,27.0,717.0,0.0,20.0,6.166875,6.166875,1,0,0,0,5,1
3,25,0,25,535.0,1300.0,19.84,9.92,1.984,5085.0,54.0,584.0,2613.0,349.0,914.0,0.0,625.0,7.151357616,7.151357616,1,0,0,0,5,1
4,25,0,25,216.0,563.0,17.92,8.96,1.7920000000000005,3758.0,22.0,1255.0,1279.0,272.0,878.0,0.0,74.0,7.387229271,7.387229271,1,0,0,0,5,1
5,25,0,25,1154.0,2233.0,27.52,13.759999999999998,2.752,707.0,133.0,41.0,206.0,355.0,94.0,0.0,11.0,7.404682159,7.404682159,2,0,0,0,4,1
6,25,0,25,1400.0,2827.0,18.56,9.28,1.8560000000000003,1653.0,159.0,305.0,701.0,372.0,149.0,0.0,126.0,8.186357616,8.186357616,1,0,0,0,5,1
7,25,0,25,400.0,820.0,23.68,11.84,2.368,804.0,32.0,159.0,328.0,77.0,227.0,0.0,13.0,8.801840918,8.801840918,2,0,0,0,4,1
8,25,0,25,812.0,1618.0,12.16,6.08,1.2160000000000002,798.0,123.0,145.0,184.0,429.0,22.0,0.0,18.0,8.327465918,8.327465918,1,617,0,0,5,1
9,25,0,25,824.0,1647.0,10.24,5.12,1.024,849.0,105.0,96.0,351.0,312.0,69.0,0.0,21.0,8.327465918,8.327465918,1,0,0,0,5,1
10,25,0,25,931.0,1822.0,15.36,7.68,1.536,1634.0,121.0,883.0,242.0,288.0,64.0,0.0,157.0,10.31121592,10.31121592,1,205,141,15,5,1
11,25,0,25,951.0,1929.0,17.28,8.64,1.7280000000000002,1721.0,180.0,196.0,952.0,297.0,185.0,0.0,91.0,10.16159426,10.16159426,1,0,0,0,5,1
12,25,0,25,170.0,335.0,21.76,10.88,2.176,2272.0,15.0,1094.0,927.0,96.0,38.0,0.0,117.0,12.46746592,12.46746592,1,0,0,0,5,1
13,25,0,25,632.0,1186.0,20.48,10.24,2.048,2286.0,34.0,62.0,1682.0,184.0,194.0,0.0,164.0,15.54215876,15.54215876,1,0,0,0,5,1
14,25,0,25,165.0,341.0,9.6,4.8,0.96,3805.0,30.0,377.0,2029.0,477.0,873.0,0.0,49.0,14.446875,14.446875,1,0,0,0,5,1
15,25,0,25,0.0,0.0,8.96,4.48,0.8960000000000001,2682.0,0.0,5.0,2553.0,72.0,44.0,0.0,8.0,12.70010193,12.70010193,1,0,0,0,5,1
16,25,0,25,0.0,0.0,2.56,1.28,0.256,225.0,0.0,26.0,176.0,12.0,8.0,0.0,3.0,10.54802757,10.54802757,1,0,0,0,5,1
17,25,0,25,217.0,428.0,8.96,4.48,0.8960000000000001,4036.0,30.0,248.0,2680.0,739.0,334.0,0.0,35.0,9.254277569,9.254277569,1,0,0,0,5,1
18,25,0,25,153.0,290.0,6.4,3.2,0.6400000000000001,1702.0,14.0,350.0,805.0,170.0,355.0,0.0,22.0,8.693652569,8.693652569,1,0,0,0,5,1
19,25,0,25,2.0,4.0,28.8,14.4,2.88,3467.0,0.0,1.0,55.0,13.0,46.0,0.0,3352.0,10.58697693,10.58697693,1,0,0,0,5,1
20,25,0,25,2.0,3.0,44.16,22.08,4.416,242.0,1.0,26.0,96.0,78.0,27.0,0.0,15.0,6.845225258,6.845225258,1,0,0,0,5,1
21,25,0,25,2474.0,4482.0,51.2,25.6,5.120000000000001,2687.0,215.0,31.0,1630.0,879.0,132.0,0.0,15.0,5.887878345,5.887878345,1,4,0,0,5,1
22,25,0,25,0.0,0.0,53.120000000000005,26.56,5.312000000000001,3498.0,0.0,316.0,734.0,2004.0,378.0,0.0,66.0,5.650298366,5.650298366,1,0,0,0,5,1
23,25,0,25,5.0,10.0,9.6,4.8,0.96,1249.0,1.0,391.0,395.0,269.0,192.0,0.0,2.0,6.751301712,6.751301712,1,0,0,0,5,1
24,25,0,25,193.0,318.0,11.52,5.76,1.152,1786.0,23.0,484.0,309.0,979.0,10.0,0.0,4.0,7.224753345,7.224753345,1,0,0,0,5,1
25,25,0,25,1252.0,2503.0,43.52,21.76,4.352,985.0,114.0,277.0,297.0,304.0,63.0,0.0,44.0,7.979048366,7.979048366,2,0,0,0,4,1
26,25,0,25,698.0,1363.0,62.72,31.36,6.272,1368.0,151.0,464.0,437.0,238.0,196.0,0.0,33.0,11.31891289,11.31891289,2,370,0,0,4,1
27,25,0,25,1689.0,3396.0,15.36,7.68,1.536,1204.0,310.0,104.0,509.0,514.0,68.0,0.0,9.0,8.476301712,8.476301712,1,0,0,0,5,1
28,25,0,25,1326.0,2588.0,28.16,14.079999999999998,2.816,1448.0,225.0,342.0,534.0,340.0,111.0,0.0,121.0,9.726926712,9.726926712,1,0,0,0,5,1
